"MCMRT Number","Compound Name","IUPAC Name",Formula,"CAS Number","Pubchem Number",Isomeric SMILES,InChI,Retention Factor (k),RT (min),RSD
260,6:2FTS,"3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctane-1-sulfonic acid",C8H5F13O3S,27619-97-2,119688,C(CS(=O)(=O)O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,"InChI=1S/C8H5F13O3S/c9-3(10,1-2-25(22,23)24)4(11,12)5(13,14)6(15,16)7(17,18)8(19,20)21/h1-2H2,(H,22,23,24)",4.54,7.03 ,0.20%
261,Bicalutamide ,N-[4-cyano-3-(trifluoromethyl)phenyl]-3-(4-fluorophenyl)sulfonyl-2-hydroxy-2-methylpropanamide,C18H14F4N2O4S,90357-06-5,2375,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,"InChI=1S/C18H14F4N2O4S/c1-17(26,10-29(27,28)14-6-3-12(19)4-7-14)16(25)24-13-5-2-11(9-23)15(8-13)18(20,21)22/h2-8,26H,10H2,1H3,(H,24,25)",4.33,6.77 ,0.17%
262,"Tris(2,3-dichloro-2-propyl)phosphate","bis[(2R)-2,3-dichloropropyl] [(2S)-2,3-dichloropropyl] phosphate",C9H15Cl6O4P,78-43-3,97301232,C([C@H](CCl)Cl)OP(=O)(OC[C@H](CCl)Cl)OC[C@@H](CCl)Cl,"InChI=1S/C9H15Cl6O4P/c10-1-7(13)4-17-20(16,18-5-8(14)2-11)19-6-9(15)3-12/h7-9H,1-6H2/t7-,8-,9+/m0/s1",5.05,7.68 ,0.19%
263,Ochratoxin C,"ethyl (2S)-2-[[(3R)-5-chloro-8-hydroxy-3-methyl-1-oxo-3,4-dihydroisochromene-7-carbonyl]amino]-3-phenylpropanoate",C22H22ClNO6,4865-85-4,20997,CCOC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=CC(=C3C[C@H](OC(=O)C3=C2O)C)Cl,"InChI=1S/C22H22ClNO6/c1-3-29-21(27)17(10-13-7-5-4-6-8-13)24-20(26)15-11-16(23)14-9-12(2)30-22(28)18(14)19(15)25/h4-8,11-12,17,25H,3,9-10H2,1-2H3,(H,24,26)/t12-,17+/m1/s1",5.21,7.89 ,0.18%
264,Tris(2-ethylhexyl) phosphate,tris(2-ethylhexyl) phosphate,C24H51O4P,78-42-2,6537,CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC,"InChI=1S/C24H51O4P/c1-7-13-16-22(10-4)19-26-29(25,27-20-23(11-5)17-14-8-2)28-21-24(12-6)18-15-9-3/h22-24H,7-21H2,1-6H3",5.37,8.09 ,0.35%
265,Paxilline,"(1S,2R,5S,7R,11S,14S)-11-hydroxy-7-(2-hydroxypropan-2-yl)-1,2-dimethyl-6-oxa-23-azahexacyclo[12.10.0.02,11.05,10.016,24.017,22]tetracosa-9,16(24),17,19,21-pentaen-8-one",C27H33NO4,57186-25-1,105008,C[C@]12CC[C@H]3C(=CC(=O)[C@H](O3)C(C)(C)O)[C@@]1(CC[C@@H]4[C@@]2(C5=C(C4)C6=CC=CC=C6N5)C)O,"InChI=1S/C27H33NO4/c1-24(2,30)23-20(29)14-18-21(32-23)10-11-25(3)26(4)15(9-12-27(18,25)31)13-17-16-7-5-6-8-19(16)28-22(17)26/h5-8,14-15,21,23,28,30-31H,9-13H2,1-4H3/t15-,21-,23-,25+,26+,27+/m0/s1",5.39,8.11 ,0.17%
266,Deflazacort,"[2-[(1S,2S,4R,8S,9S,11S,12S,13R)-11-hydroxy-6,9,13-trimethyl-16-oxo-5-oxa-7-azapentacyclo[10.8.0.02,9.04,8.013,18]icosa-6,14,17-trien-8-yl]-2-oxoethyl] acetate",C25H31NO6,14484-47-0,189821,CC1=N[C@@]2([C@H](O1)C[C@@H]3[C@@]2(C[C@@H]([C@H]4[C@H]3CCC5=CC(=O)C=C[C@]45C)O)C)C(=O)COC(=O)C,"InChI=1S/C25H31NO6/c1-13-26-25(20(30)12-31-14(2)27)21(32-13)10-18-17-6-5-15-9-16(28)7-8-23(15,3)22(17)19(29)11-24(18,25)4/h7-9,17-19,21-22,29H,5-6,10-12H2,1-4H3/t17-,18-,19-,21+,22+,23-,24-,25+/m0/s1",4.70,7.24 ,0.00%
267,Tetracycline,"(4S,4aS,5aS,6S,12aR)-4-(dimethylamino)-1,6,10,11,12a-pentahydroxy-6-methyl-3,12-dioxo-4,4a,5,5a-tetrahydrotetracene-2-carboxamide",C22H24N2O8,60-54-8,54675776,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,"InChI=1S/C22H24N2O8/c1-21(31)8-5-4-6-11(25)12(8)16(26)13-9(21)7-10-15(24(2)3)17(27)14(20(23)30)19(29)22(10,32)18(13)28/h4-6,9-10,15,25-26,29,31-32H,7H2,1-3H3,(H2,23,30)/t9-,10-,15-,21+,22-/m0/s1",2.88,4.93 ,0.43%
268,Doxycycline,"(4S,4aR,5S,5aR,6R,12aR)-4-(dimethylamino)-1,5,10,11,12a-pentahydroxy-6-methyl-3,12-dioxo-4a,5,5a,6-tetrahydro-4H-tetracene-2-carboxamide",C22H24N2O8,564-25-0,54671203,C[C@@H]1[C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,"InChI=1S/C22H24N2O8/c1-7-8-5-4-6-9(25)11(8)16(26)12-10(7)17(27)14-15(24(2)3)18(28)13(21(23)31)20(30)22(14,32)19(12)29/h4-7,10,14-15,17,25-27,30,32H,1-3H3,(H2,23,31)/t7-,10+,14+,15-,17-,22-/m0/s1",3.65,5.91 ,0.96%
269,Difenacoum (peak2),"4-hydroxy-3-[3-(4-phenylphenyl)-1,2,3,4-tetrahydronaphthalen-1-yl]chromen-2-one",C31H24O3,56073-07-5,54676884,C1C(CC2=CC=CC=C2C1C3=C(C4=CC=CC=C4OC3=O)O)C5=CC=C(C=C5)C6=CC=CC=C6,"InChI=1S/C31H24O3/c32-30-26-12-6-7-13-28(26)34-31(33)29(30)27-19-24(18-23-10-4-5-11-25(23)27)22-16-14-21(15-17-22)20-8-2-1-3-9-20/h1-17,24,27,32H,18-19H2",5.35,8.06 ,0.26%
270,PFHpS,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoroheptane-1-sulfonic acid",C7HF15O3S,375-92-8,67820,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F,"InChI=1S/C7HF15O3S/c8-1(9,2(10,11)4(14,15)6(18,19)20)3(12,13)5(16,17)7(21,22)26(23,24)25/h(H,23,24,25)",4.50,6.99 ,0.20%
271,Tris(2-isopropylphenyl) phosphate,tris(2-propan-2-ylphenyl) phosphate,C27H33O4P,64532-95-2,33661,CC(C)C1=CC=CC=C1OP(=O)(OC2=CC=CC=C2C(C)C)OC3=CC=CC=C3C(C)C,"InChI=1S/C27H33O4P/c1-19(2)22-13-7-10-16-25(22)29-32(28,30-26-17-11-8-14-23(26)20(3)4)31-27-18-12-9-15-24(27)21(5)6/h7-21H,1-6H3",6.42,9.42 ,0.00%
272,Dioxathion,"(3-diethoxyphosphinothioylsulfanyl-1,4-dioxan-2-yl)sulfanyl-diethoxy-sulfanylidene-lambda5-phosphane",C12H26O6P2S4,78-34-2,6531,CCOP(=S)(OCC)SC1C(OCCO1)SP(=S)(OCC)OCC,"InChI=1S/C12H26O6P2S4/c1-5-15-19(21,16-6-2)23-11-12(14-10-9-13-11)24-20(22,17-7-3)18-8-4/h11-12H,5-10H2,1-4H3",5.43,8.17 ,0.17%
273,Fumagillin,"(2E,4E,6E,8E)-10-[[(3R,4S,5S,6R)-5-methoxy-4-[(2R,3R)-2-methyl-3-(3-methylbut-2-enyl)oxiran-2-yl]-1-oxaspiro[2.5]octan-6-yl]oxy]-10-oxodeca-2,4,6,8-tetraenoic acid",C26H34O7,23110-15-8,6917655,CC(=CC[C@@H]1[C@@](O1)(C)[C@H]2[C@@H]([C@@H](CC[C@]23CO3)OC(=O)/C=C/C=C/C=C/C=C/C(=O)O)OC)C," InChI=1S/C26H34O7/c1-18(2)13-14-20-25(3,33-20)24-23(30-4)19(15-16-26(24)17-31-26)32-22(29)12-10-8-6-5-7-9-11-21(27)28/h5-13,19-20,23-24H,14-17H2,1-4H3,(H,27,28)/b7-5+,8-6+,11-9+,12-10+/t19-,20-,23-,24-,25+,26+/m1/s1",5.06,7.69 ,0.18%
274,Oxytetracycline ,"(4S,4aR,5S,5aR,6S,12aR)-4-(dimethylamino)-1,5,6,10,11,12a-hexahydroxy-6-methyl-3,12-dioxo-4,4a,5,5a-tetrahydrotetracene-2-carboxamide",C22H24N2O9,79-57-2,54675779,C[C@@]1([C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O,"InChI=1S/C22H24N2O9/c1-21(32)7-5-4-6-8(25)9(7)15(26)10-12(21)17(28)13-14(24(2)3)16(27)11(20(23)31)19(30)22(13,33)18(10)29/h4-6,12-14,17,25-26,28,30,32-33H,1-3H3,(H2,23,31)/t12-,13-,14+,17+,21-,22+/m1/s1",2.94,5.00 ,0.57%
275,PFECHS,"1,2,2,3,3,4,5,5,6,6-decafluoro-4-(1,1,2,2,2-pentafluoroethyl)cyclohexane-1-sulfonic acid",C8HF15O3S,646-83-3,101650,C1(C(C(C(C(C1(F)F)(F)F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)F,"InChI=1S/C8HF15O3S/c9-1(4(14,15)8(21,22)23)2(10,11)5(16,17)7(20,27(24,25)26)6(18,19)3(1,12)13/h(H,24,25,26)",4.47,6.95 ,0.20%
276,Perfluorononanoic acid,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-heptadecafluorononanoic acid",C9HF17O2,375-95-1,67821,C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,"InChI=1S/C9HF17O2/c10-2(11,1(27)28)3(12,13)4(14,15)5(16,17)6(18,19)7(20,21)8(22,23)9(24,25)26/h(H,27,28)",4.72,7.27 ,0.21%
277,Fusariotoxin T-2,"[(1S,2R,4S,7R,9R,10R,11S,12S)-11-acetyloxy-2-(acetyloxymethyl)-10-hydroxy-1,5-dimethylspiro[8-oxatricyclo[7.2.1.02,7]dodec-5-ene-12,2'-oxirane]-4-yl] 3-methylbutanoate",C24H34O9,21259-20-1,5284461,CC1=C[C@@H]2[C@](C[C@@H]1OC(=O)CC(C)C)([C@]3([C@@H]([C@H]([C@H]([C@@]34CO4)O2)O)OC(=O)C)C)COC(=O)C,"InChI=1S/C24H34O9/c1-12(2)7-18(27)32-16-9-23(10-29-14(4)25)17(8-13(16)3)33-21-19(28)20(31-15(5)26)22(23,6)24(21)11-30-24/h8,12,16-17,19-21,28H,7,9-11H2,1-6H3/t16-,17+,19+,20+,21+,22+,23+,24-/m0/s1",4.54,7.03 ,0.30%
278,Halfenprox,1-[bromo(difluoro)methoxy]-4-[2-methyl-1-[(3-phenoxyphenyl)methoxy]propan-2-yl]benzene,C24H23BrF2O3,111872-58-3,10140464,CC(C)(COCC1=CC(=CC=C1)OC2=CC=CC=C2)C3=CC=C(C=C3)OC(F)(F)Br,"InChI=1S/C24H23BrF2O3/c1-23(2,19-11-13-21(14-12-19)30-24(25,26)27)17-28-16-18-7-6-10-22(15-18)29-20-8-4-3-5-9-20/h3-15H,16-17H2,1-2H3",6.46,9.48 ,0.28%
279,Chlorotetracycline ,"(4S,4aS,5aS,6S,12aR)-7-chloro-4-(dimethylamino)-1,6,10,11,12a-pentahydroxy-6-methyl-3,12-dioxo-4,4a,5,5a-tetrahydrotetracene-2-carboxamide",C22H23ClN2O8,57-62-5,54675777,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C(C=CC(=C41)Cl)O)O)O)O)C(=O)N)N(C)C)O,"InChI=1S/C22H23ClN2O8/c1-21(32)7-6-8-15(25(2)3)17(28)13(20(24)31)19(30)22(8,33)18(29)11(7)16(27)12-10(26)5-4-9(23)14(12)21/h4-5,7-8,15,26-27,30,32-33H,6H2,1-3H3,(H2,24,31)/t7-,8-,15-,21-,22-/m0/s1",3.54,5.76 ,0.50%
280,N-AP-FHxSA,"N-[3-(dimethylamino)propyl]-1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluorohexane-1-sulfonamide",C11H13F13N2O2S,50598-28-2,111913,CN(C)CCCNS(=O)(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,"InChI=1S/C11H13F13N2O2S/c1-26(2)5-3-4-25-29(27,28)11(23,24)9(18,19)7(14,15)6(12,13)8(16,17)10(20,21)22/h25H,3-5H2,1-2H3",4.53,7.02 ,0.20%
281,Vardenafil,"2-[2-ethoxy-5-(4-ethylpiperazin-1-yl)sulfonylphenyl]-5-methyl-7-propyl-3H-imidazo[5,1-f][1,2,4]triazin-4-one",C23H32N6O4S,224785-90-4,135400189,CCCC1=NC(=C2N1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C,"InChI=1S/C23H32N6O4S/c1-5-8-20-24-16(4)21-23(30)25-22(26-29(20)21)18-15-17(9-10-19(18)33-7-3)34(31,32)28-13-11-27(6-2)12-14-28/h9-10,15H,5-8,11-14H2,1-4H3,(H,25,26,30)",4.24,6.65 ,0.00%
282,Flufenoxuron,"N-[[4-[2-chloro-4-(trifluoromethyl)phenoxy]-2-fluorophenyl]carbamoyl]-2,6-difluorobenzamide",C21H11ClF6N2O3,101463-69-8,91766,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=C(C=C(C=C2)OC3=C(C=C(C=C3)C(F)(F)F)Cl)F)F,"InChI=1S/C21H11ClF6N2O3/c22-12-8-10(21(26,27)28)4-7-17(12)33-11-5-6-16(15(25)9-11)29-20(32)30-19(31)18-13(23)2-1-3-14(18)24/h1-9H,(H2,29,30,31,32)",5.52,8.28 ,0.24%
283,Glibenclamide,5-chloro-N-[2-[4-(cyclohexylcarbamoylsulfamoyl)phenyl]ethyl]-2-methoxybenzamide,C23H28ClN3O5S,10238-21-8,3488,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,"InChI=1S/C23H28ClN3O5S/c1-32-21-12-9-17(24)15-20(21)22(28)25-14-13-16-7-10-19(11-8-16)33(30,31)27-23(29)26-18-5-3-2-4-6-18/h7-12,15,18H,2-6,13-14H2,1H3,(H,25,28)(H2,26,27,29)",4.80,7.36 ,0.21%
284,Tris[4-(2-methyl-2-propanyl)phenyl] phosphate,tris(4-tert-butylphenyl) phosphate,C30H39O4P,78-33-1,6530,CC(C)(C)C1=CC=C(C=C1)OP(=O)(OC2=CC=C(C=C2)C(C)(C)C)OC3=CC=C(C=C3)C(C)(C)C,"InChI=1S/C30H39O4P/c1-28(2,3)22-10-16-25(17-11-22)32-35(31,33-26-18-12-23(13-19-26)29(4,5)6)34-27-20-14-24(15-21-27)30(7,8)9/h10-21H,1-9H3",5.39,8.11 ,0.09%
285,Cytochalasin E,"(1S,5E,7R,9S,11E,13S,14S,16R,17S,18S,19S)-19-benzyl-7-hydroxy-7,9,16,17-tetramethyl-2,4,15-trioxa-20-azatetracyclo[11.8.0.01,18.014,16]henicosa-5,11-diene-3,8,21-trione",C28H33NO7,36011-19-5,5458385,C[C@H]1C/C=C/[C@H]2[C@H]3[C@](O3)([C@H]([C@@H]4[C@]2(C(=O)N[C@H]4CC5=CC=CC=C5)OC(=O)O/C=C/[C@@](C1=O)(C)O)C)C,"InChI=1S/C28H33NO7/c1-16-9-8-12-19-23-27(4,35-23)17(2)21-20(15-18-10-6-5-7-11-18)29-24(31)28(19,21)36-25(32)34-14-13-26(3,33)22(16)30/h5-8,10-14,16-17,19-21,23,33H,9,15H2,1-4H3,(H,29,31)/b12-8+,14-13+/t16-,17-,19-,20-,21-,23-,26+,27+,28+/m0/s1",4.74,7.29 ,0.10%
286,N-TAmP-FHxSA,"N-(3-aminopropyl)-3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluoro-N-methyloctane-1-sulfonamide",C12H15F13N2O2S,,87104599,CN(CCCN)S(=O)(=O)CCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,"InChI=1S/C12H15F13N2O2S/c1-27(5-2-4-26)30(28,29)6-3-7(13,14)8(15,16)9(17,18)10(19,20)11(21,22)12(23,24)25/h2-6,26H2,1H3",4.47,6.95 ,0.41%
287,Perfluorooctanesulphonamide,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfonamide",C8H2F17NO2S,754-91-6,69785,C(C(C(C(C(F)(F)S(=O)(=O)N)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,"InChI=1S/C8H2F17NO2S/c9-1(10,3(13,14)5(17,18)7(21,22)23)2(11,12)4(15,16)6(19,20)8(24,25)29(26,27)28/h(H2,26,27,28)",5.12,7.77 ,0.09%
288,Perfluorooctanesulfonic acid,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluorooctane-1-sulfonic acid",C8HF17O3S,1763-23-1,74483,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,"InChI=1S/C8HF17O3S/c9-1(10,3(13,14)5(17,18)7(21,22)23)2(11,12)4(15,16)6(19,20)8(24,25)29(26,27)28/h(H,26,27,28)",4.69,7.23 ,0.20%
289,Deltamethrin ,"[(S)-cyano-(3-phenoxyphenyl)methyl] (1R,3R)-3-(2,2-dibromoethenyl)-2,2-dimethylcyclopropane-1-carboxylate",C22H19Br2NO3,52918-63-5,40585,CC1([C@H]([C@H]1C(=O)O[C@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Br)Br)C,"InChI=1S/C22H19Br2NO3/c1-22(2)17(12-19(23)24)20(22)21(26)28-18(13-25)14-7-6-10-16(11-14)27-15-8-4-3-5-9-15/h3-12,17-18,20H,1-2H3/t17-,18+,20-/m0/s1",5.72,8.54 ,0.32%
290,Verruculogen,"(9R,14S,17S,23R,24S)-23,24-dihydroxy-5-methoxy-12,12-dimethyl-9-(2-methylprop-1-enyl)-10,11-dioxa-8,15,21-triazahexacyclo[12.10.1.02,7.08,25.015,23.017,21]pentacosa-1(25),2(7),3,5-tetraene-16,22-dione",C27H33N3O7,12771-72-1,13887805,CC(=C[C@@H]1N2C3=C(C=CC(=C3)OC)C4=C2[C@H](CC(OO1)(C)C)N5C(=O)[C@@H]6CCCN6C(=O)[C@@]5([C@H]4O)O)C,"InChI=1S/C27H33N3O7/c1-14(2)11-20-29-18-12-15(35-5)8-9-16(18)21-22(29)19(13-26(3,4)37-36-20)30-24(32)17-7-6-10-28(17)25(33)27(30,34)23(21)31/h8-9,11-12,17,19-20,23,31,34H,6-7,10,13H2,1-5H3/t17-,19-,20+,23-,27+/m0/s1",5.02,7.64 ,0.19%
291,Perfluorodecanoic acid,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-nonadecafluorodecanoic acid",C10HF19O2,335-76-2,9555,C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,"InChI=1S/C10HF19O2/c11-2(12,1(30)31)3(13,14)4(15,16)5(17,18)6(19,20)7(21,22)8(23,24)9(25,26)10(27,28)29/h(H,30,31)",4.91,7.50 ,0.19%
292,Brodifacoum (Peak1),"3-[3-[4-(4-bromophenyl)phenyl]-1,2,3,4-tetrahydronaphthalen-1-yl]-4-hydroxychromen-2-one",C31H23BrO3,56073-10-0,54680676,C1C(CC2=CC=CC=C2C1C3=C(C4=CC=CC=C4OC3=O)O)C5=CC=C(C=C5)C6=CC=C(C=C6)Br,"InChI=1S/C31H23BrO3/c32-24-15-13-20(14-16-24)19-9-11-21(12-10-19)23-17-22-5-1-2-6-25(22)27(18-23)29-30(33)26-7-3-4-8-28(26)35-31(29)34/h1-16,23,27,33H,17-18H2",5.56,8.33 ,0.21%
293,Ceftiofur ,"(6R,7R)-7-[[(2E)-2-(2-amino-1,3-thiazol-4-yl)-2-methoxyiminoacetyl]amino]-3-(furan-2-carbonylsulfanylmethyl)-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",C19H17N5O7S3,80370-57-6,5484735,CO/N=C(/C1=CSC(=N1)N)\C(=O)N[C@H]2[C@@H]3N(C2=O)C(=C(CS3)CSC(=O)C4=CC=CO4)C(=O)O,"InChI=1S/C19H17N5O7S3/c1-30-23-11(9-7-34-19(20)21-9)14(25)22-12-15(26)24-13(17(27)28)8(5-32-16(12)24)6-33-18(29)10-3-2-4-31-10/h2-4,7,12,16H,5-6H2,1H3,(H2,20,21)(H,22,25)(H,27,28)/b23-11+/t12-,16-/m1/s1",3.16,5.28 ,0.19%
294,Penfluridol,"1-[4,4-bis(4-fluorophenyl)butyl]-4-[4-chloro-3-(trifluoromethyl)phenyl]piperidin-4-ol",C28H27ClF5NO,26864-56-2,33630,C1CN(CCC1(C2=CC(=C(C=C2)Cl)C(F)(F)F)O)CCCC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F,"InChI=1S/C28H27ClF5NO/c29-26-12-7-21(18-25(26)28(32,33)34)27(36)13-16-35(17-14-27)15-1-2-24(19-3-8-22(30)9-4-19)20-5-10-23(31)11-6-20/h3-12,18,24,36H,1-2,13-17H2",4.67,7.20 ,0.21%
295,Indoxacarb,"methyl (4aS)-7-chloro-2-[methoxycarbonyl-[4-(trifluoromethoxy)phenyl]carbamoyl]-3,5-dihydroindeno[1,2-e][1,3,4]oxadiazine-4a-carboxylate",C22H17ClF3N3O7,173584-44-6,107720,COC(=O)[C@]12CC3=C(C1=NN(CO2)C(=O)N(C4=CC=C(C=C4)OC(F)(F)F)C(=O)OC)C=CC(=C3)Cl,"InChI=1S/C22H17ClF3N3O7/c1-33-18(30)21-10-12-9-13(23)3-8-16(12)17(21)27-28(11-35-21)19(31)29(20(32)34-2)14-4-6-15(7-5-14)36-22(24,25)26/h3-9H,10-11H2,1-2H3/t21-/m0/s1",5.15,7.81 ,0.20%
296,8:2FTS,"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecane-1-sulfonic acid",C10H5F17O3S,39108-34-4,3016044,C(CS(=O)(=O)O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,"InChI=1S/C10H5F17O3S/c11-3(12,1-2-31(28,29)30)4(13,14)5(15,16)6(17,18)7(19,20)8(21,22)9(23,24)10(25,26)27/h1-2H2,(H,28,29,30)",4.90,7.49 ,0.19%
297,6:2ClPFAES,"2-(6-chloro-1,1,2,2,3,3,4,4,5,5,6,6-dodecafluorohexoxy)-1,1,2,2-tetrafluoroethanesulfonic acid",C8HClF16O4S,756426-58-1,22568738,C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(F)F,"InChI=1S/C8HClF16O4S/c9-5(18,19)3(14,15)1(10,11)2(12,13)4(16,17)6(20,21)29-7(22,23)8(24,25)30(26,27)28/h(H,26,27,28)",4.80,7.36 ,0.19%
298,Chlorfluazuron,"N-[[3,5-dichloro-4-[3-chloro-5-(trifluoromethyl)pyridin-2-yl]oxyphenyl]carbamoyl]-2,6-difluorobenzamide",C20H9Cl3F5N3O3,71422-67-8,91708,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C(=C2)Cl)OC3=C(C=C(C=N3)C(F)(F)F)Cl)Cl)F,"InChI=1S/C20H9Cl3F5N3O3/c21-10-5-9(30-19(33)31-17(32)15-13(24)2-1-3-14(15)25)6-11(22)16(10)34-18-12(23)4-8(7-29-18)20(26,27)28/h1-7H,(H2,30,31,32,33)",5.66,8.46 ,0.18%
299,Rugulosin,"8,10,14,23,25,28-hexahydroxy-6,21-dimethyloctacyclo[14.11.1.02,11.02,15.04,9.013,17.017,26.019,24]octacosa-4(9),5,7,10,19(24),20,22,25-octaene-3,12,18,27-tetrone",C30H22O10,23537-16-8,62769,CC1=CC2=C(C(=C1)O)C(=C3C(=O)C4C(C5C3(C2=O)C6C(C5C47C(=C(C8=C(C7=O)C=C(C=C8O)C)O)C6=O)O)O)O,"InChI=1S/C30H22O10/c1-7-3-9-13(11(31)5-7)21(33)17-25(37)20-23(35)15-16-24(36)19(29(15,17)27(9)39)26(38)18-22(34)14-10(28(40)30(16,18)20)4-8(2)6-12(14)32/h3-6,15-16,19-20,23-24,31-36H,1-2H3",4.85,7.43 ,0.10%
300,Tetrabromobisphenol A,"2,6-dibromo-4-[2-(3,5-dibromo-4-hydroxyphenyl)propan-2-yl]phenol",C15H12Br4O2,79-94-7,6618,CC(C)(C1=CC(=C(C(=C1)Br)O)Br)C2=CC(=C(C(=C2)Br)O)Br,"InChI=1S/C15H12Br4O2/c1-15(2,7-3-9(16)13(20)10(17)4-7)8-5-11(18)14(21)12(19)6-8/h3-6,20-21H,1-2H3",5.36,8.08 ,0.07%
301,PFNS,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-nonadecafluorononane-1-sulfonic acid",C9HF19O3S,68259-12-1,86998,C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(F)F,"InChI=1S/C9HF19O3S/c10-1(11,2(12,13)4(16,17)6(20,21)8(24,25)26)3(14,15)5(18,19)7(22,23)9(27,28)32(29,30)31/h(H,29,30,31)",4.86,7.44 ,0.10%
302,Aliskiren,"(2S,4S,5S,7S)-5-amino-N-(3-amino-2,2-dimethyl-3-oxopropyl)-4-hydroxy-7-[[4-methoxy-3-(3-methoxypropoxy)phenyl]methyl]-8-methyl-2-propan-2-ylnonanamide",C30H53N3O6,173334-57-1,5493444,CC(C)[C@@H](CC1=CC(=C(C=C1)OC)OCCCOC)C[C@@H]([C@H](C[C@@H](C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N,"InChI=1S/C30H53N3O6/c1-19(2)22(14-21-10-11-26(38-8)27(15-21)39-13-9-12-37-7)16-24(31)25(34)17-23(20(3)4)28(35)33-18-30(5,6)29(32)36/h10-11,15,19-20,22-25,34H,9,12-14,16-18,31H2,1-8H3,(H2,32,36)(H,33,35)/t22-,23-,24-,25-/m0/s1",4.39,6.84 ,0.08%
303,Perfluoroundecanoic acid,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-henicosafluoroundecanoic acid",C11HF21O2,2058-94-8,77222,C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,"InChI=1S/C11HF21O2/c12-2(13,1(33)34)3(14,15)4(16,17)5(18,19)6(20,21)7(22,23)8(24,25)9(26,27)10(28,29)11(30,31)32/h(H,33,34)",5.04,7.67 ,0.18%
